1617966989,4,1,22
1617966994,4,1,22
1617966999,4,1,22
1617967004,4,1,22
1617967009,4,1,22
1617967014,4,1,22
1617967019,4,1,22
1617967024,4,1,22
1617967029,4,1,22
1617967034,4,1,22
1617967039,4,1,22
1617967044,4,1,22
1617967049,4,1,22
1617967054,4,1,22
1617967059,4,1,22
1617967064,4,1,22
1617967069,4,1,22
1617967074,4,1,22
1617967079,4,1,22
1617967084,4,1,22
1617967089,4,1,22
1617967094,4,1,22
1617967099,4,1,22
1617967104,4,1,22
1617967109,4,1,22
1617967114,4,1,22
1617967119,4,1,22
1617967124,4,1,22
1617967129,4,1,22
1617967134,4,1,22
1617967139,4,1,22
1617967144,4,1,22
1617967149,4,1,22
